     support confidence      lift leverage    jaccard
425    0.285  0.9193548  2.589732 0.174950 0.75000000
426    0.285  0.9827586  2.807882 0.183500 0.80281690
427    0.285  0.9661017  3.066990 0.192075 0.87692308
428    0.280  0.9032258  2.474591 0.166850 0.70886076
429    0.280  0.9824561  2.807018 0.180250 0.78873239
430    0.280  0.9491525  3.013183 0.187075 0.84848485
431    0.275  0.8870968  2.087287 0.143250 0.59782609
432    0.275  1.0000000  2.857143 0.178750 0.78571429
433    0.275  0.9166667  2.910053 0.180500 0.80882353
434    0.150  1.0000000  2.857143 0.097500 0.42857143
435    0.150  0.8823529  2.801120 0.096450 0.44776119
436    0.160  0.9696970  2.770563 0.102250 0.45070423
437    0.160  0.8888889  2.821869 0.103300 0.47761194
438    0.270  0.9310345  2.550779 0.164150 0.70129870
439    0.270  0.9473684  2.668643 0.168825 0.72972973
440    0.270  0.8571429  2.721088 0.170775 0.75000000
441    0.270  0.9310345  2.190669 0.146750 0.60674157
442    0.270  0.9818182  2.765685 0.172375 0.75000000
443    0.270  0.8852459  2.810304 0.173925 0.77142857
444    0.140  0.9333333  2.629108 0.086750 0.38356164
445    0.140  0.8000000  2.539683 0.084875 0.40000000
446    0.150  0.9090909  2.560819 0.091425 0.40540541
447    0.150  0.8333333  2.645503 0.093300 0.43478261
448    0.260  0.9122807  2.146543 0.138875 0.57777778
449    0.260  0.9454545  2.590286 0.159625 0.68421053
450    0.260  0.8524590  2.706219 0.163925 0.72222222
451    0.145  0.9666667  2.648402 0.090250 0.39189189
452    0.145  0.7837838  2.488202 0.086725 0.40845070
453    0.140  0.8484848  2.324616 0.079775 0.35897436
454    0.140  0.7777778  2.469136 0.083300 0.39436620
455    0.140  0.9333333  2.196078 0.076250 0.32183908
456    0.140  0.9032258  2.867384 0.091175 0.42424242
457    0.135  0.8181818  1.925134 0.064875 0.29670330
458    0.200  0.6557377  1.748634 0.085625 0.41666667
459    0.200  0.8888889  2.435312 0.117875 0.51282051
460    0.200  0.8333333  2.415459 0.117200 0.51948052
461    0.300  0.9836066  2.490143 0.179525 0.75000000
462    0.300  0.9677419  2.651348 0.186850 0.80000000
463    0.300  0.8823529  2.557545 0.182700 0.77922078
464    0.285  0.9344262  2.307225 0.161475 0.67058824
465    0.285  0.9344262  2.560072 0.173675 0.74025974
466    0.285  0.9047619  2.622498 0.176325 0.76000000
467    0.100  0.8695652  2.382370 0.058025 0.26315789
468    0.100  0.8333333  2.415459 0.058600 0.27397260
469    0.150  0.8571429  2.348337 0.086125 0.38461538
