     support confidence      lift      leverage    jaccard
302    0.050  1.0000000  6.060606  4.175000e-02 0.30303030
303    0.050  0.7142857  5.494505  4.090000e-02 0.33333333
304    0.075  0.6000000  1.200000  1.250000e-02 0.13636364
305    0.075  0.9375000  5.681818  6.180000e-02 0.44117647
306    0.075  0.7894737  6.072874  6.265000e-02 0.50000000
307    0.125  1.0000000  5.714286  1.031250e-01 0.71428571
308    0.125  0.9615385  5.656109  1.029000e-01 0.71428571
309    0.125  0.7575758  5.827506  1.035500e-01 0.73529412
310    0.125  1.0000000  3.846154  9.250000e-02 0.48076923
311    0.125  0.9615385  5.656109  1.029000e-01 0.71428571
312    0.125  0.7812500  6.009615  1.042000e-01 0.75757576
313    0.075  0.6000000  1.600000  2.812500e-02 0.17647059
314    0.075  0.9375000  5.514706  6.140000e-02 0.42857143
315    0.075  0.6521739  5.016722  6.005000e-02 0.44117647
316    0.050  1.0000000  5.882353  4.150000e-02 0.29411765
317    0.050  0.6250000  4.807692  3.960000e-02 0.31250000
318    0.075  0.6000000  1.200000  1.250000e-02 0.13636364
319    0.075  0.9375000  5.514706  6.140000e-02 0.42857143
320    0.075  0.8333333  6.410256  6.330000e-02 0.51724138
321    0.130  1.0000000  3.846154  9.620000e-02 0.50000000
322    0.130  1.0000000  5.714286  1.072500e-01 0.74285714
323    0.130  0.7878788  6.060606  1.085500e-01 0.78787879
324    0.080  0.6153846  1.641026  3.125000e-02 0.18823529
325    0.080  1.0000000  5.714286  6.600000e-02 0.45714286
326    0.080  0.6666667  5.128205  6.440000e-02 0.47058824
327    0.050  1.0000000  5.714286  4.125000e-02 0.28571429
328    0.050  0.6250000  4.807692  3.960000e-02 0.31250000
329    0.080  0.6153846  1.230769  1.500000e-02 0.14545455
330    0.080  1.0000000  5.714286  6.600000e-02 0.45714286
331    0.080  0.8421053  6.477733  6.765000e-02 0.55172414
332    0.080  0.6153846  1.641026  3.125000e-02 0.18823529
333    0.080  1.0000000  3.846154  5.920000e-02 0.30769231
334    0.050  1.0000000  3.846154  3.700000e-02 0.19230769
335    0.080  0.6153846  1.230769  1.500000e-02 0.14545455
336    0.080  1.0000000  3.846154  5.920000e-02 0.30769231
337    0.080  0.6153846  4.733728  6.310000e-02 0.44444444
338    0.075  0.9375000  1.875000  3.500000e-02 0.14851485
339    0.075  0.9375000  2.500000  4.500000e-02 0.19736842
340    0.075  0.5000000  3.846154  5.550000e-02 0.36585366
341    0.065  1.0000000  3.846154  4.810000e-02 0.25000000
342    0.065  0.5000000  3.571429  4.680000e-02 0.31707317
343    0.075  0.5357143  1.071429  5.000000e-03 0.13274336
344    0.075  1.0000000  3.846154  5.550000e-02 0.28846154
345    0.075  0.5769231  4.120879  5.680000e-02 0.38461538
346    0.150  0.9677419  5.529954  1.228750e-01 0.83333333
347    0.150  0.9677419  5.692600  1.236500e-01 0.85714286
348    0.150  0.9090909  5.509642  1.227750e-01 0.83333333
349    0.145  0.9354839  3.598015  1.047000e-01 0.53703704
350    0.145  0.9354839  5.502846  1.186500e-01 0.80555556
351    0.145  0.9062500  5.492424  1.186000e-01 0.80555556
352    0.100  0.6451613  1.720430  4.187500e-02 0.23255814
353    0.100  0.9090909  5.347594  8.130000e-02 0.55555556
354    0.100  0.8695652  5.270092  8.102500e-02 0.55555556
355    0.070  1.0000000  5.882353  5.810000e-02 0.41176471
356    0.070  0.8750000  5.303030  5.680000e-02 0.40000000
357    0.085  0.5483871  1.096774  7.500000e-03 0.14912281
358    0.085  0.8947368  5.263158  6.885000e-02 0.47222222
359    0.085  0.9444444  5.723906  7.015000e-02 0.50000000
360    0.145  0.9354839  3.598015  1.047000e-01 0.53703704
361    0.145  0.9354839  5.345622  1.178750e-01 0.78378378
362    0.145  0.8787879  5.325987  1.177750e-01 0.78378378
363    0.100  0.6451613  1.720430  4.187500e-02 0.23255814
364    0.100  0.9090909  5.194805  8.075000e-02 0.54054054
365    0.100  0.8333333  5.050505  8.020000e-02 0.54054054
366    0.070  1.0000000  5.714286  5.775000e-02 0.40000000
367    0.070  0.8750000  5.303030  5.680000e-02 0.40000000
368    0.085  0.5483871  1.096774  7.500000e-03 0.14912281
369    0.085  0.8947368  5.112782  6.837500e-02 0.45945946
370    0.085  0.8947368  5.422648  6.932500e-02 0.48571429
371    0.100  0.6451613  1.720430  4.187500e-02 0.23255814
372    0.100  0.9090909  3.496503  7.140000e-02 0.37037037
373    0.100  0.5405405  3.276003  6.947500e-02 0.40000000
374    0.060  0.8571429  3.296703  4.180000e-02 0.22222222
375    0.095  0.6129032  1.225806  1.750000e-02 0.16964286
376    0.095  1.0000000  3.846154  7.030000e-02 0.36538462
377    0.095  0.7307692  4.428904  7.355000e-02 0.47500000
378    0.090  0.8181818  1.636364  3.500000e-02 0.17307692
379    0.090  0.9473684  2.526316  5.437500e-02 0.23684211
380    0.090  0.6000000  3.636364  6.525000e-02 0.40000000
381    0.155  0.9393939  3.613054  1.121000e-01 0.57407407
382    0.155  0.9687500  5.535714  1.270000e-01 0.86111111
383    0.155  0.9393939  5.525847  1.269500e-01 0.86111111
384    0.110  0.6666667  1.777778  4.812500e-02 0.25581395
385    0.110  0.9565217  5.465839  8.987500e-02 0.61111111
386    0.110  0.9166667  5.392157  8.960000e-02 0.61111111
387    0.080  1.0000000  5.714286  6.600000e-02 0.45714286
388    0.080  1.0000000  5.882353  6.640000e-02 0.47058824
389    0.085  0.5151515  1.030303  2.500000e-03 0.14655172
390    0.085  0.9444444  5.396825  6.925000e-02 0.47222222
391    0.085  0.8947368  5.263158  6.885000e-02 0.47222222
392    0.105  0.6562500  1.750000  4.500000e-02 0.24418605
393    0.105  0.9130435  3.511706  7.510000e-02 0.38888889
394    0.105  0.5675676  3.338633  7.355000e-02 0.42000000
395    0.070  0.8750000  3.365385  4.920000e-02 0.25925926
396    0.070  0.5384615  3.167421  4.790000e-02 0.30434783
397    0.090  0.5625000  1.125000  1.000000e-02 0.15789474
398    0.090  1.0000000  3.846154  6.660000e-02 0.34615385
399    0.090  0.6923077  4.072398  6.790000e-02 0.42857143
400    0.085  0.7391304  1.478261  2.750000e-02 0.16037736
