     support confidence      lift leverage   jaccard
422    0.150  0.9677419  2.726034 0.094975 0.4166667
423    0.155  0.8611111  2.026144 0.078500 0.3444444
424    0.060  0.8000000  1.975309 0.029625 0.1428571
425    0.060  1.0000000  2.531646 0.036300 0.1518987
426    0.145  0.9354839  2.562970 0.088425 0.3866667
427    0.160  0.8888889  2.091503 0.083500 0.3595506
428    0.220  0.9166667  2.320675 0.125200 0.5301205
429    0.220  0.8979592  2.460162 0.130575 0.5641026
430    0.210  0.8750000  2.160494 0.112800 0.4827586
431    0.175  0.9459459  2.522523 0.105625 0.4545455
432    0.310  0.9117647  2.251271 0.172300 0.7126437
433    0.310  0.9841270  2.491461 0.185575 0.7750000
434    0.310  0.8611111  2.359209 0.178600 0.7469880
435    0.115  0.9583333  2.426160 0.067600 0.2875000
436    0.175  0.9459459  2.394800 0.101925 0.4320988
437    0.175  0.8750000  2.397260 0.102000 0.4487179
438    0.165  0.9166667  2.320675 0.093900 0.4024390
439    0.165  0.8461538  2.318230 0.093825 0.4177215
440    0.100  0.8333333  2.057613 0.051400 0.2352941
441    0.100  0.8000000  2.191781 0.054375 0.2564103
442    0.160  0.8648649  2.135469 0.085075 0.3720930
443    0.155  0.8611111  2.126200 0.082100 0.3604651
444    0.155  0.8157895  2.235040 0.085650 0.3875000
445    0.115  0.9583333  1.916667 0.055000 0.2277228
446    0.230  0.9387755  2.317964 0.130775 0.5476190
447    0.230  0.8518519  2.156587 0.123350 0.5287356
448    0.185  0.8222222  2.081575 0.096125 0.4252874
449    0.185  0.9250000  2.466667 0.110000 0.4743590
450    0.195  0.8666667  2.139918 0.103875 0.4482759
451    0.195  0.9069767  2.418605 0.114375 0.4936709
452    0.125  0.8620690  2.128565 0.066275 0.2941176
453    0.125  1.0000000  2.531646 0.075625 0.3164557
454    0.185  0.9250000  2.283951 0.104000 0.4404762
455    0.185  0.8604651  2.178393 0.100075 0.4352941
456    0.175  0.8974359  2.215891 0.096025 0.4117647
457    0.175  0.9210526  2.331779 0.099950 0.4268293
458    0.135  0.9310345  1.862069 0.062500 0.2647059
