     support confidence     lift leverage   jaccard
317    0.050  0.9090909 6.993007 0.042850 0.3703704
318    0.050  1.0000000 5.714286 0.041250 0.2857143
319    0.050  1.0000000 5.882353 0.041500 0.2941176
320    0.050  0.9090909 6.993007 0.042850 0.3703704
321    0.050  1.0000000 3.846154 0.037000 0.1923077
322    0.050  1.0000000 5.882353 0.041500 0.2941176
323    0.050  0.9090909 6.993007 0.042850 0.3703704
324    0.050  1.0000000 3.846154 0.037000 0.1923077
325    0.050  1.0000000 5.714286 0.041250 0.2857143
326    0.050  0.9090909 6.993007 0.042850 0.3703704
327    0.055  1.0000000 5.714286 0.045375 0.3142857
328    0.055  1.0000000 5.882353 0.045650 0.3235294
329    0.055  1.0000000 6.060606 0.045925 0.3333333
330    0.055  1.0000000 3.846154 0.040700 0.2115385
331    0.055  1.0000000 5.882353 0.045650 0.3235294
332    0.055  1.0000000 6.060606 0.045925 0.3333333
333    0.050  0.9090909 1.818182 0.022500 0.0990099
334    0.050  1.0000000 5.882353 0.041500 0.2941176
335    0.050  1.0000000 6.060606 0.041750 0.3030303
336    0.055  1.0000000 3.846154 0.040700 0.2115385
337    0.055  1.0000000 5.714286 0.045375 0.3142857
338    0.055  1.0000000 6.060606 0.045925 0.3333333
339    0.050  0.9090909 1.818182 0.022500 0.0990099
340    0.050  1.0000000 5.714286 0.041250 0.2857143
341    0.050  1.0000000 6.060606 0.041750 0.3030303
342    0.050  0.9090909 1.818182 0.022500 0.0990099
343    0.050  1.0000000 3.846154 0.037000 0.1923077
344    0.050  0.9090909 5.509642 0.040925 0.2941176
345    0.055  1.0000000 3.846154 0.040700 0.2115385
346    0.055  1.0000000 5.714286 0.045375 0.3142857
347    0.055  1.0000000 5.882353 0.045650 0.3235294
348    0.050  0.9090909 1.818182 0.022500 0.0990099
349    0.050  1.0000000 5.714286 0.041250 0.2857143
350    0.050  1.0000000 5.882353 0.041500 0.2941176
351    0.050  0.9090909 1.818182 0.022500 0.0990099
352    0.050  1.0000000 3.846154 0.037000 0.1923077
353    0.050  0.9090909 5.347594 0.040650 0.2857143
354    0.050  0.9090909 1.818182 0.022500 0.0990099
355    0.050  1.0000000 3.846154 0.037000 0.1923077
356    0.050  0.9090909 5.194805 0.040375 0.2777778
357    0.100  1.0000000 8.000000 0.087500 0.8000000
358    0.100  1.0000000 8.695652 0.088500 0.8695652
359    0.100  1.0000000 8.695652 0.088500 0.8695652
360    0.100  0.9523810 8.658009 0.088450 0.8695652
361    0.100  1.0000000 7.142857 0.086000 0.7142857
362    0.100  1.0000000 8.695652 0.088500 0.8695652
363    0.100  1.0000000 8.695652 0.088500 0.8695652
364    0.100  0.9090909 8.264463 0.087900 0.8333333
365    0.100  1.0000000 3.846154 0.074000 0.3846154
366    0.100  1.0000000 8.695652 0.088500 0.8695652
367    0.100  1.0000000 8.695652 0.088500 0.8695652
368    0.100  0.9090909 8.264463 0.087900 0.8333333
369    0.060  1.0000000 8.695652 0.053100 0.5217391
370    0.060  1.0000000 8.695652 0.053100 0.5217391
371    0.060  0.9230769 8.391608 0.052850 0.5217391
372    0.100  1.0000000 7.142857 0.086000 0.7142857
373    0.100  1.0000000 8.000000 0.087500 0.8000000
374    0.100  0.9090909 7.905138 0.087350 0.8000000
375    0.100  0.9523810 8.658009 0.088450 0.8695652
376    0.100  1.0000000 3.846154 0.074000 0.3846154
377    0.100  1.0000000 8.000000 0.087500 0.8000000
378    0.100  0.9090909 7.905138 0.087350 0.8000000
379    0.100  0.9090909 8.264463 0.087900 0.8333333
380    0.060  1.0000000 8.000000 0.052500 0.4800000
381    0.060  1.0000000 8.695652 0.053100 0.5217391
382    0.100  1.0000000 3.846154 0.074000 0.3846154
383    0.100  1.0000000 7.142857 0.086000 0.7142857
384    0.100  0.9090909 7.905138 0.087350 0.8000000
385    0.100  0.9090909 8.264463 0.087900 0.8333333
386    0.060  1.0000000 7.142857 0.051600 0.4285714
387    0.060  1.0000000 8.695652 0.053100 0.5217391
388    0.060  0.9230769 8.391608 0.052850 0.5217391
389    0.060  1.0000000 3.846154 0.044400 0.2307692
390    0.060  1.0000000 8.695652 0.053100 0.5217391
391    0.100  1.0000000 7.142857 0.086000 0.7142857
392    0.100  1.0000000 8.000000 0.087500 0.8000000
393    0.100  0.9090909 7.905138 0.087350 0.8000000
394    0.100  0.9523810 8.658009 0.088450 0.8695652
395    0.100  1.0000000 3.846154 0.074000 0.3846154
396    0.100  1.0000000 8.000000 0.087500 0.8000000
397    0.100  0.9090909 7.905138 0.087350 0.8000000
398    0.100  0.9523810 8.658009 0.088450 0.8695652
399    0.060  1.0000000 8.000000 0.052500 0.4800000
400    0.060  1.0000000 8.695652 0.053100 0.5217391
401    0.060  0.9230769 8.391608 0.052850 0.5217391
402    0.100  1.0000000 3.846154 0.074000 0.3846154
403    0.100  1.0000000 7.142857 0.086000 0.7142857
404    0.100  0.9090909 7.905138 0.087350 0.8000000
405    0.060  1.0000000 7.142857 0.051600 0.4285714
406    0.060  1.0000000 8.695652 0.053100 0.5217391
407    0.060  0.9230769 8.391608 0.052850 0.5217391
408    0.060  1.0000000 3.846154 0.044400 0.2307692
409    0.060  1.0000000 8.695652 0.053100 0.5217391
410    0.060  0.9230769 8.391608 0.052850 0.5217391
411    0.110  1.0000000 3.846154 0.081400 0.4230769
412    0.110  1.0000000 7.142857 0.094600 0.7857143
413    0.110  1.0000000 8.000000 0.096250 0.8800000
414    0.110  0.9166667 8.333333 0.096800 0.9166667
415    0.060  1.0000000 7.142857 0.051600 0.4285714
416    0.060  1.0000000 8.000000 0.052500 0.4800000
417    0.060  0.9230769 8.391608 0.052850 0.5217391
418    0.050  1.0000000 7.142857 0.043000 0.3571429
419    0.050  1.0000000 8.000000 0.043750 0.4000000
420    0.050  0.9090909 8.264463 0.043950 0.4347826
421    0.060  1.0000000 3.846154 0.044400 0.2307692
422    0.060  1.0000000 8.000000 0.052500 0.4800000
423    0.050  1.0000000 3.846154 0.037000 0.1923077
424    0.050  1.0000000 8.000000 0.043750 0.4000000
425    0.050  0.9090909 8.264463 0.043950 0.4347826
426    0.060  1.0000000 3.846154 0.044400 0.2307692
427    0.060  1.0000000 7.142857 0.051600 0.4285714
428    0.060  0.9230769 8.391608 0.052850 0.5217391
429    0.050  1.0000000 3.846154 0.037000 0.1923077
430    0.050  1.0000000 7.142857 0.043000 0.3571429
431    0.105  1.0000000 7.142857 0.090300 0.7500000
432    0.105  0.9545455 7.636364 0.091250 0.8076923
433    0.105  1.0000000 8.695652 0.092925 0.9130435
434    0.105  1.0000000 8.695652 0.092925 0.9130435
435    0.105  1.0000000 3.846154 0.077700 0.4038462
436    0.105  0.9545455 7.636364 0.091250 0.8076923
