    support confidence     lift leverage    jaccard
391   0.080          1 2.941176 0.052800 0.23529412
392   0.080          1 3.773585 0.058800 0.30188679
393   0.080          1 4.347826 0.061600 0.34782609
394   0.090          1 4.347826 0.069300 0.39130435
395   0.090          1 5.263158 0.072900 0.47368421
396   0.080          1 2.941176 0.052800 0.23529412
397   0.080          1 3.773585 0.058800 0.30188679
398   0.090          1 4.347826 0.069300 0.39130435
399   0.090          1 5.000000 0.072000 0.45000000
400   0.200          1 3.571429 0.144000 0.71428571
401   0.115          1 3.508772 0.082225 0.40350877
402   0.115          1 3.571429 0.082800 0.41071429
403   0.095          1 3.571429 0.068400 0.33928571
404   0.095          1 3.846154 0.070300 0.36538462
405   0.085          1 3.508772 0.060775 0.29824561
406   0.085          1 3.571429 0.061200 0.30357143
407   0.110          1 3.571429 0.079200 0.39285714
408   0.100          1 3.571429 0.072000 0.35714286
409   0.100          1 3.846154 0.074000 0.38461538
410   0.100          1 4.081633 0.075500 0.40816327
411   0.080          1 3.571429 0.057600 0.28571429
412   0.085          1 2.000000 0.042500 0.17000000
413   0.085          1 3.571429 0.061200 0.30357143
414   0.110          1 3.508772 0.078650 0.38596491
415   0.090          1 3.846154 0.066600 0.34615385
416   0.090          1 4.081633 0.067950 0.36734694
417   0.080          1 3.508772 0.057200 0.28070175
418   0.085          1 2.000000 0.042500 0.17000000
419   0.085          1 3.508772 0.060775 0.29824561
420   0.080          1 2.000000 0.040000 0.16000000
421   0.115          1 3.571429 0.082800 0.41071429
422   0.090          1 3.571429 0.064800 0.32142857
423   0.090          1 4.081633 0.067950 0.36734694
424   0.085          1 3.571429 0.061200 0.30357143
425   0.090          1 2.000000 0.045000 0.18000000
426   0.090          1 3.571429 0.064800 0.32142857
427   0.105          1 2.000000 0.052500 0.21000000
428   0.105          1 3.571429 0.075600 0.37500000
429   0.085          1 2.000000 0.042500 0.17000000
430   0.125          1 3.508772 0.089375 0.43859649
431   0.125          1 3.571429 0.090000 0.44642857
432   0.090          1 3.571429 0.064800 0.32142857
433   0.090          1 3.846154 0.066600 0.34615385
434   0.095          1 3.508772 0.067925 0.33333333
435   0.095          1 3.571429 0.068400 0.33928571
436   0.110          1 3.508772 0.078650 0.38596491
437   0.095          1 2.000000 0.047500 0.19000000
438   0.095          1 3.571429 0.068400 0.33928571
439   0.095          1 2.000000 0.047500 0.19000000
440   0.095          1 3.508772 0.067925 0.33333333
441   0.055          1 2.000000 0.027500 0.11000000
442   0.060          1 1.886792 0.028200 0.11320755
443   0.060          1 2.000000 0.030000 0.12000000
444   0.055          1 2.000000 0.027500 0.11000000
445   0.070          1 2.000000 0.035000 0.14000000
446   0.065          1 2.000000 0.032500 0.13000000
447   0.075          1 1.886792 0.035250 0.14150943
448   0.075          1 2.000000 0.037500 0.15000000
449   0.055          1 1.886792 0.025850 0.10377358
450   0.055          1 1.886792 0.025850 0.10377358
451   0.065          1 1.886792 0.030550 0.12264151
452   0.060          1 1.886792 0.028200 0.11320755
453   0.060          1 2.000000 0.030000 0.12000000
454   0.055          1 2.000000 0.027500 0.11000000
455   0.060          1 1.886792 0.028200 0.11320755
456   0.060          1 2.000000 0.030000 0.12000000
457   0.075          1 1.886792 0.035250 0.14150943
458   0.075          1 2.000000 0.037500 0.15000000
459   0.055          1 1.886792 0.025850 0.10377358
460   0.100          1 2.000000 0.050000 0.20000000
